"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jan 27 13:19:53 GMT 2023","Fri Jan 27 13:19:53 GMT 2023","404","Multi Browser and Parallel Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:19:54 GMT 2023","Fri Jan 27 13:19:54 GMT 2023","262","Multi Browser and Parallel Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:19:54 GMT 2023","Fri Jan 27 13:19:54 GMT 2023","272","Multi Browser and Parallel Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:19:53 GMT 2023","Fri Jan 27 13:19:54 GMT 2023","393","Multi Browser and Parallel Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:19:54 GMT 2023","Fri Jan 27 13:19:54 GMT 2023","478","Multi Browser and Parallel Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:19:53 GMT 2023","Fri Jan 27 13:19:54 GMT 2023","294","Multi Browser and Parallel Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:19:54 GMT 2023","Fri Jan 27 13:19:54 GMT 2023","339","Multi Browser and Parallel Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:19:53 GMT 2023","Fri Jan 27 13:19:53 GMT 2023","586","Multi Browser and Parallel Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:19:53 GMT 2023","Fri Jan 27 13:19:53 GMT 2023","347","Multi Browser and Parallel Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:19:54 GMT 2023","Fri Jan 27 13:19:54 GMT 2023","423","Multi Browser and Parallel Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:19:53 GMT 2023","Fri Jan 27 13:19:53 GMT 2023","303","Multi Browser and Parallel Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:19:54 GMT 2023","Fri Jan 27 13:19:54 GMT 2023","257","Multi Browser and Parallel Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:19:48 GMT 2023","Fri Jan 27 13:19:53 GMT 2023","4057","Multi Browser and Parallel Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:19:53 GMT 2023","Fri Jan 27 13:19:53 GMT 2023","412","Multi Browser and Parallel Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:19:48 GMT 2023","Fri Jan 27 13:19:53 GMT 2023","4196","Multi Browser and Parallel Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:19:54 GMT 2023","Fri Jan 27 13:19:55 GMT 2023","304","Multi Browser and Parallel Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:19:53 GMT 2023","Fri Jan 27 13:19:54 GMT 2023","451","Multi Browser and Parallel Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:19:48 GMT 2023","Fri Jan 27 13:19:53 GMT 2023","4050","Multi Browser and Parallel Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
