"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 16 18:56:53 GMT 2022","Mon May 16 18:57:01 GMT 2022","7359","","By Articles","","To add a laptop to the shopping cart","","To add a laptop to the shopping cart",""
"passed","Mon May 16 18:57:08 GMT 2022","Mon May 16 18:57:13 GMT 2022","5076","","Register a user","","Register a user Successful","","Register a user Successful",""
"passed","Mon May 16 18:56:50 GMT 2022","Mon May 16 18:56:53 GMT 2022","2940","Test Suite","Regression Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Mon May 16 18:57:01 GMT 2022","Mon May 16 18:57:08 GMT 2022","6714","","Login y Logout","","Login Successful","","Login Successful",""
"passed","Mon May 16 18:56:39 GMT 2022","Mon May 16 18:56:47 GMT 2022","8660","","Manage pet API services","","Add Pet","","Add Pet",""
"passed","Mon May 16 18:56:50 GMT 2022","Mon May 16 18:56:53 GMT 2022","2933","","Manage pet API services","","Update an existing pet","","Update an existing pet",""
"passed","Mon May 16 18:56:47 GMT 2022","Mon May 16 18:56:50 GMT 2022","3071","Test Suite","Regression Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Mon May 16 18:57:01 GMT 2022","Mon May 16 18:57:08 GMT 2022","6718","Test Suite","Regression Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon May 16 18:57:08 GMT 2022","Mon May 16 18:57:13 GMT 2022","5079","Test Suite","Regression Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon May 16 18:56:47 GMT 2022","Mon May 16 18:56:50 GMT 2022","3067","","Manage pet API services","","Find Pet by id","","Find Pet by id",""
"broken","Mon May 16 18:56:53 GMT 2022","Mon May 16 18:57:01 GMT 2022","7369","Test Suite","Regression Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon May 16 18:56:38 GMT 2022","Mon May 16 18:56:47 GMT 2022","8970","Test Suite","Regression Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
