"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jan 25 16:28:21 GMT 2023","Wed Jan 25 16:28:22 GMT 2023","272","Multi Browser Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Jan 25 16:28:14 GMT 2023","Wed Jan 25 16:28:15 GMT 2023","181","Multi Browser Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Jan 25 16:28:15 GMT 2023","Wed Jan 25 16:28:15 GMT 2023","183","Multi Browser Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Jan 25 16:28:07 GMT 2023","Wed Jan 25 16:28:07 GMT 2023","245","Multi Browser Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Jan 25 16:28:08 GMT 2023","Wed Jan 25 16:28:08 GMT 2023","219","Multi Browser Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Jan 25 16:28:14 GMT 2023","Wed Jan 25 16:28:14 GMT 2023","229","Multi Browser Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Jan 25 16:28:04 GMT 2023","Wed Jan 25 16:28:07 GMT 2023","2703","Multi Browser Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Jan 25 16:28:22 GMT 2023","Wed Jan 25 16:28:22 GMT 2023","230","Multi Browser Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Jan 25 16:28:15 GMT 2023","Wed Jan 25 16:28:15 GMT 2023","249","Multi Browser Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Jan 25 16:28:15 GMT 2023","Wed Jan 25 16:28:21 GMT 2023","5753","Multi Browser Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Jan 25 16:28:15 GMT 2023","Wed Jan 25 16:28:15 GMT 2023","173","Multi Browser Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Jan 25 16:28:22 GMT 2023","Wed Jan 25 16:28:22 GMT 2023","285","Multi Browser Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Jan 25 16:28:07 GMT 2023","Wed Jan 25 16:28:08 GMT 2023","228","Multi Browser Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Jan 25 16:28:21 GMT 2023","Wed Jan 25 16:28:21 GMT 2023","227","Multi Browser Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Jan 25 16:28:08 GMT 2023","Wed Jan 25 16:28:14 GMT 2023","5835","Multi Browser Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Jan 25 16:28:22 GMT 2023","Wed Jan 25 16:28:22 GMT 2023","225","Multi Browser Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Jan 25 16:28:08 GMT 2023","Wed Jan 25 16:28:08 GMT 2023","210","Multi Browser Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Jan 25 16:28:08 GMT 2023","Wed Jan 25 16:28:08 GMT 2023","227","Multi Browser Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
