"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 25 16:31:32 GMT 2023","Wed Jan 25 16:31:33 GMT 2023","885","Multi Browser Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 16:31:43 GMT 2023","Wed Jan 25 16:31:46 GMT 2023","2221","Multi Browser Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 16:31:06 GMT 2023","Wed Jan 25 16:31:09 GMT 2023","3529","Multi Browser Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 16:32:08 GMT 2023","Wed Jan 25 16:32:10 GMT 2023","2400","Multi Browser Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 16:31:24 GMT 2023","Wed Jan 25 16:31:32 GMT 2023","8551","Multi Browser Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 16:31:02 GMT 2023","Wed Jan 25 16:31:06 GMT 2023","3627","Multi Browser Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 16:31:14 GMT 2023","Wed Jan 25 16:31:20 GMT 2023","6173","Multi Browser Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Jan 25 16:31:57 GMT 2023","Wed Jan 25 16:32:03 GMT 2023","5525","Multi Browser Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 16:31:46 GMT 2023","Wed Jan 25 16:31:56 GMT 2023","10050","Multi Browser Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 16:31:57 GMT 2023","Wed Jan 25 16:31:57 GMT 2023","809","Multi Browser Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 16:32:03 GMT 2023","Wed Jan 25 16:32:08 GMT 2023","4712","Multi Browser Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 16:30:52 GMT 2023","Wed Jan 25 16:31:02 GMT 2023","9440","Multi Browser Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 16:31:20 GMT 2023","Wed Jan 25 16:31:24 GMT 2023","3680","Multi Browser Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Jan 25 16:31:34 GMT 2023","Wed Jan 25 16:31:39 GMT 2023","5409","Multi Browser Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 16:31:39 GMT 2023","Wed Jan 25 16:31:43 GMT 2023","4085","Multi Browser Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 16:31:33 GMT 2023","Wed Jan 25 16:31:34 GMT 2023","775","Multi Browser Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 16:31:56 GMT 2023","Wed Jan 25 16:31:57 GMT 2023","809","Multi Browser Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Jan 25 16:31:09 GMT 2023","Wed Jan 25 16:31:14 GMT 2023","4718","Multi Browser Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
