"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jan 27 13:43:59 GMT 2023","Fri Jan 27 13:44:00 GMT 2023","355","Multi Browser and Parallel Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:43:59 GMT 2023","Fri Jan 27 13:44:00 GMT 2023","391","Multi Browser and Parallel Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:43:59 GMT 2023","Fri Jan 27 13:43:59 GMT 2023","359","Multi Browser and Parallel Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:44:00 GMT 2023","Fri Jan 27 13:44:00 GMT 2023","402","Multi Browser and Parallel Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:43:58 GMT 2023","Fri Jan 27 13:43:59 GMT 2023","432","Multi Browser and Parallel Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:44:00 GMT 2023","Fri Jan 27 13:44:00 GMT 2023","242","Multi Browser and Parallel Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:43:54 GMT 2023","Fri Jan 27 13:43:58 GMT 2023","3841","Multi Browser and Parallel Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:43:59 GMT 2023","Fri Jan 27 13:43:59 GMT 2023","329","Multi Browser and Parallel Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:43:58 GMT 2023","Fri Jan 27 13:43:59 GMT 2023","689","Multi Browser and Parallel Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:43:59 GMT 2023","Fri Jan 27 13:43:59 GMT 2023","363","Multi Browser and Parallel Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:44:00 GMT 2023","Fri Jan 27 13:44:00 GMT 2023","351","Multi Browser and Parallel Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:44:00 GMT 2023","Fri Jan 27 13:44:00 GMT 2023","224","Multi Browser and Parallel Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:43:59 GMT 2023","Fri Jan 27 13:44:00 GMT 2023","264","Multi Browser and Parallel Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:43:54 GMT 2023","Fri Jan 27 13:43:58 GMT 2023","3835","Multi Browser and Parallel Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:43:54 GMT 2023","Fri Jan 27 13:43:58 GMT 2023","3833","Multi Browser and Parallel Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:43:59 GMT 2023","Fri Jan 27 13:43:59 GMT 2023","274","Multi Browser and Parallel Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:43:58 GMT 2023","Fri Jan 27 13:43:59 GMT 2023","429","Multi Browser and Parallel Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Jan 27 13:43:59 GMT 2023","Fri Jan 27 13:43:59 GMT 2023","398","Multi Browser and Parallel Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
