"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 25 20:24:44 GMT 2023","Wed Jan 25 20:24:48 GMT 2023","3592","Multi Browser Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 20:25:13 GMT 2023","Wed Jan 25 20:25:17 GMT 2023","3959","Multi Browser Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 20:25:28 GMT 2023","Wed Jan 25 20:25:29 GMT 2023","556","Multi Browser Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 20:24:48 GMT 2023","Wed Jan 25 20:24:51 GMT 2023","3517","Multi Browser Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 20:25:07 GMT 2023","Wed Jan 25 20:25:08 GMT 2023","483","Multi Browser Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Jan 25 20:24:51 GMT 2023","Wed Jan 25 20:24:56 GMT 2023","4553","Multi Browser Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Jan 25 20:25:08 GMT 2023","Wed Jan 25 20:25:13 GMT 2023","4390","Multi Browser Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 20:25:29 GMT 2023","Wed Jan 25 20:25:29 GMT 2023","472","Multi Browser Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 20:25:01 GMT 2023","Wed Jan 25 20:25:06 GMT 2023","4011","Multi Browser Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 20:25:17 GMT 2023","Wed Jan 25 20:25:19 GMT 2023","2244","Multi Browser Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 20:25:39 GMT 2023","Wed Jan 25 20:25:41 GMT 2023","2303","Multi Browser Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Jan 25 20:24:56 GMT 2023","Wed Jan 25 20:25:01 GMT 2023","5827","Multi Browser Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 20:25:19 GMT 2023","Wed Jan 25 20:25:28 GMT 2023","9348","Multi Browser Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 20:25:35 GMT 2023","Wed Jan 25 20:25:39 GMT 2023","4108","Multi Browser Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Jan 25 20:25:29 GMT 2023","Wed Jan 25 20:25:35 GMT 2023","5806","Multi Browser Test","Edge","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 20:24:36 GMT 2023","Wed Jan 25 20:24:44 GMT 2023","8029","Multi Browser Test","Firefox Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 20:25:06 GMT 2023","Wed Jan 25 20:25:07 GMT 2023","1634","Multi Browser Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jan 25 20:25:08 GMT 2023","Wed Jan 25 20:25:08 GMT 2023","505","Multi Browser Test","Chrome Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
