"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 17 13:15:17 GMT 2022","Tue May 17 13:15:25 GMT 2022","8644","Test Suite","Regression Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue May 17 13:15:25 GMT 2022","Tue May 17 13:15:28 GMT 2022","3090","","Manage pet API services","","Find Pet by id","","Find Pet by id",""
"passed","Tue May 17 13:15:25 GMT 2022","Tue May 17 13:15:28 GMT 2022","3095","Test Suite","Regression Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue May 17 13:15:17 GMT 2022","Tue May 17 13:15:25 GMT 2022","8348","","Manage pet API services","","Add Pet","","Add Pet",""
"passed","Tue May 17 13:15:28 GMT 2022","Tue May 17 13:15:31 GMT 2022","2933","Test Suite","Regression Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue May 17 13:15:47 GMT 2022","Tue May 17 13:15:52 GMT 2022","4973","Test Suite","Regression Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue May 17 13:15:31 GMT 2022","Tue May 17 13:15:40 GMT 2022","8959","Test Suite","Regression Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue May 17 13:15:47 GMT 2022","Tue May 17 13:15:52 GMT 2022","4968","","Register a user","","Register a user Successful","","Register a user Successful",""
"passed","Tue May 17 13:15:28 GMT 2022","Tue May 17 13:15:31 GMT 2022","2925","","Manage pet API services","","Update an existing pet","","Update an existing pet",""
"passed","Tue May 17 13:15:31 GMT 2022","Tue May 17 13:15:40 GMT 2022","8941","","By Articles","","To add a laptop to the shopping cart","","To add a laptop to the shopping cart",""
"passed","Tue May 17 13:15:40 GMT 2022","Tue May 17 13:15:47 GMT 2022","6943","","Login y Logout","","Login Successful","","Login Successful",""
"passed","Tue May 17 13:15:40 GMT 2022","Tue May 17 13:15:47 GMT 2022","6946","Test Suite","Regression Test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
